สาขา,รายรับจริง (บาท),รายจ่ายดำเนินงาน (บาท),กำไร/ขาดทุนดำเนินงาน (บาท),ค่าเช่าคงที่ (บาท),กำไร/ขาดทุนสุทธิ (บาท),หมายเหตุ
สาขา 1,23370,22612,758,5000,-4242,"รวมถึงวันที่ 22 ก.ย. (21 วันขาย • พักร้าน 1 วัน, มีค่าไฟ 1,916 บ., ค่าเช่า/ไฟ 5,000 บ./เดือน หักวันที่ 4)"
สาขา 2,23230,30092,-6862,3333.33,-10195.33,"รวมถึงวันที่ 22 ก.ย. (22 วันขาย, มีสั่งของร้านโอ้โห ไข่เต่า 1,029 บ., ค่าเช่า 10,000 บ./3 เดือน เฉลี่ย 3,333.33 บ./เดือน)"
สาขา 3,30357,27905,2452,4000,-1548,"รวมถึงวันที่ 22 ก.ย. (22 วันขาย, ยอดขายทะลุ 3 หมื่นบาท! อันดับ 1, มีสั่งของร้านโอ้โห ไข่เต่า 1,029 บ., ค่าเช่า 4,000 บ./เดือน หักวันที่ 4)"
สาขา 4,27050,27745,-695,3333.33,-4028.33,"รวมถึงวันที่ 22 ก.ย. (22 วันขาย, วันนี้กำไรหน้าร้านเป็นบวก +230 บ., มีค่าไฟเต่า 3,330 บ., ค่าเช่า 10,000 บ./3 เดือน เฉลี่ย 3,333.33 บ./เดือน)"
รวมทั้ง 4 สาขา,104007,108354,-4347,15666.67,-20013.67,"ยอดรวม 22 วันแรกของเดือนกันยายน 2569 (ค่าเช่าเฉลี่ยต่อเดือนรวม 15,666.67 บ.) ทะลุ 1.04 แสนบาท!"
