เดือน,เป้าหมายยอดขาย (บาท),รายรับจริง (บาท),รายจ่ายดำเนินงาน (บาท),ค่าเช่าจ่ายจริง (บาท),ค่าเช่าเฉลี่ยต่อเดือน (บาท),กำไร/ขาดทุนสุทธิ (บาท),อัตรากำไร (%),หมายเหตุ
มีนาคม 2569,30000,22454,23083,0,0,-629,-2.8%,"ยอดถึงวันที่ 29 ได้ 20,839 บ. / สิ้นเดือนรวม 22,454 บ."
เมษายน 2569,30000,24236,19992,10000,3333.33,910.67,3.8%,"ขายถึงวันที่ 23 (21 วันขาย) จ่ายค่าเช่ารอบ 3 เดือน 10,000 บ. (เฉลี่ย 3,333.33 บ./ด.)"
พฤษภาคม 2569,30000,31466,31161,0,0,305,1.0%,"ยอดขายทะลุเป้า 30,000 บ. กำไรสุทธิ +305 บ."
มิถุนายน 2569,30000,28368,27442,3336,3336,-2410,-8.5%,"ลงค่าเช่าตัดรอบ 3,336 บ. ในวันที่ 1 รวมรายจ่าย 30,778 บ."
กรกฎาคม 2569,30000,34810,31351,10000,3333.33,125.67,0.4%,"จ่ายค่าเช่ารอบใหม่ 3 เดือน 10,000 บ. (เฉลี่ย 3,333.33 บ./ด.) ทะลุเป้า"
สิงหาคม 2569,40000,38655,36776,0,0,1879,4.9%,"ตั้งเป้าใหม่ 40,000 บ. ยอดขายสูงสุดเป็นประวัติการณ์ 38,655 บ. กำไร +1,879 บ."
กันยายน 2569 (23 วัน),40000,27915,28370,0,3333.33,-3788.33,-13.57%,"ข้อมูล 23 วันแรก กำไรหน้าร้านเป็นบวก 2 วันติด (+230 และ +240) ค่าเช่าเฉลี่ย 3,333.33 บ./ด."
รวม 7 เดือน (มี.ค. - ก.ย. 69),-,202528,197485,23336,13336,-3829,-1.89%,"ยอดขายสะสมทะลุ 202,528 บ. เติบโตต่อเนื่อง (+72.8% จากเดือนแรก)"
